name;ID;reservoir;pump;mass_total;mass_total_uncertainty;density;density_uncertainty;density_temperature;AXPLOJNSKRXQPA-UHFFFAOYSA-N;AXPLOJNSKRXQPA-UHFFFAOYSA-N_uncertainty;KMTRUDSVKNLOMY-UHFFFAOYSA-N;KMTRUDSVKNLOMY-UHFFFAOYSA-N_uncertainty;JBTWLSYIZRCDFO-UHFFFAOYSA-N;JBTWLSYIZRCDFO-UHFFFAOYSA-N_uncertainty;batch;manufacturer;manufacturing_date;references
1.5M-LiPF6-EC-EMC;1cf21361-d1d4-422c-9c9a-045c846bcfcc;Reservoir6;A0.0;125.78;0.001;1.288;0.001;299.5;22.216;0.001;51.782;0.001;51.782;0.001;MPGX-23-474_1;E-Lyte;08/2023;refilled 14.11.2023
1.5M-LiPF6-EMC;ab9995be-24f9-46df-a2b9-bbebeee76cf9;Reservoir5;B0.0;93.17;0.001;1.163;0.001;299.5;18.235;0.001;0.0;0.001;74.935;0.001;MPGX-23-474_4;E-Lyte;08/2023;refilled 08.11.2023
EC-EMC;c9e0363b-893a-4d7f-aa1a-17862f8c8223;Reservoir4;C0.0;116.03;0.001;1.159;0.001;299.5;0.0;0.001;58.015;0.001;58.015;0.001;MPGX-23-474_2;E-Lyte;08/2023;refilled 14.11.2023
EMC;02c25ee3-83fc-4d0a-bef5-d3964c51013f;Reservoir3;D0.0;22.64;0.001;1.005;0.001;299.5;0.0;0.001;0.0;0.001;22.64;0.001;MPGX-23-474_3;E-Lyte;08/2023;refilled 23.11.2023
