name;ID;reservoir;pump;mass_total;mass_total_uncertainty;density;density_uncertainty;density_temperature;AXPLOJNSKRXQPA-UHFFFAOYSA-N;AXPLOJNSKRXQPA-UHFFFAOYSA-N_uncertainty;KMTRUDSVKNLOMY-UHFFFAOYSA-N;KMTRUDSVKNLOMY-UHFFFAOYSA-N_uncertainty;JBTWLSYIZRCDFO-UHFFFAOYSA-N;JBTWLSYIZRCDFO-UHFFFAOYSA-N_uncertainty;batch;manufacturer;manufacturing_date;references
1.5M-LiPF6-EC-EMC;c7b65884-c3a1-49fd-a6f3-fd9b09580e9a;Reservoir6;A0.0;60.1237;0.001;1.288;0.001;299.8;10.62;0.001;24.752;0.001;24.752;0.001;MPGX-23-474_1;E-Lyte;08/2023;refilled 30.11.2023
1.5M-LiPF6-EMC;d014e69d-248c-4d10-bfd4-f3b023a58246;Reservoir5;B0.0;51.1853;0.001;1.162;0.001;299.8;10.018;0.001;0.0;0.001;41.167;0.001;MPGX-23-474_4;E-Lyte;08/2023;refilled 30.11.2023
EC-EMC;35bc5ea7-d8c3-418d-aedb-2e443dd0169f;Reservoir4;C0.0;50.9483;0.001;1.159;0.001;299.8;0.0;0.001;25.474;0.001;25.474;0.001;MPGX-23-474_2;E-Lyte;08/2023;refilled 30.11.2023
EMC;cc5816fc-f3f5-4eb5-99c9-e97a229c3667;Reservoir3;D0.0;44.9601;0.001;1.005;0.001;299.8;0.0;0.001;0.0;0.001;44.96;0.001;MPGX-23-474_3;E-Lyte;08/2023;refilled 30.11.2023
